Cause of death,NICU Admission,Antibiotics for Mother,Mother's Pre-pregnancy BMI,Infant birth weight,Deaths,Births,Death rate per 1000,Year
Sudden infant death syndrome - SIDS,No,No,Overweight 25.0-29.9,2500 - 2999 grams,40.0,117687.0,0.34,2021
Sudden infant death syndrome - SIDS,No,No,Overweight 25.0-29.9,3000 - 3499 grams,98.0,276450.0,0.35,2021
Sudden infant death syndrome - SIDS,No,No,Overweight 25.0-29.9,3500 - 3999 grams,31.0,195176.0,0.16,2021
Sudden infant death syndrome - SIDS,No,No,Obesity I 30.0-34.9,2500 - 2999 grams,36.0,65739.0,0.55,2021
Sudden infant death syndrome - SIDS,No,No,Obesity I 30.0-34.9,3000 - 3499 grams,52.0,153685.0,0.34,2021
Sudden infant death syndrome - SIDS,No,No,Obesity I 30.0-34.9,3500 - 3999 grams,22.0,114307.0,0.19,2021
Sudden infant death syndrome - SIDS,No,No,Obesity II 35.0-39.9,2000 - 2499 grams,11.0,6116.0,1.80 (Unreliable),2021
Sudden infant death syndrome - SIDS,No,No,Obesity II 35.0-39.9,2500 - 2999 grams,15.0,31719.0,0.48 (Unreliable),2021
Sudden infant death syndrome - SIDS,No,No,Obesity II 35.0-39.9,3000 - 3499 grams,35.0,72591.0,0.48,2021
Sudden infant death syndrome - SIDS,No,No,Obesity II 35.0-39.9,3500 - 3999 grams,15.0,55046.0,0.27 (Unreliable),2021
Sudden infant death syndrome - SIDS,No,No,Extreme Obesity III > 39.9,2500 - 2999 grams,16.0,22046.0,0.73 (Unreliable),2021
Sudden infant death syndrome - SIDS,No,No,Extreme Obesity III > 39.9,3000 - 3499 grams,38.0,48222.0,0.79,2021
Sudden infant death syndrome - SIDS,No,No,Extreme Obesity III > 39.9,3500 - 3999 grams,17.0,36306.0,0.47 (Unreliable),2021
Sudden infant death syndrome - SIDS,No,No,Unknown or Not Stated,3000 - 3499 grams,13.0,15332.0,0.85 (Unreliable),2021
Other ill-defined and unspecified causes of mortality,Yes,Yes,Normal 18.5-24.9,2000 - 2499 grams,11.0,9963.0,1.12 (Unreliable),2021
Other ill-defined and unspecified causes of mortality,Yes,No,Normal 18.5-24.9,1500 - 1999 grams,10.0,9359.0,1.07 (Unreliable),2021
Other ill-defined and unspecified causes of mortality,Yes,No,Normal 18.5-24.9,2000 - 2499 grams,10.0,13137.0,0.77 (Unreliable),2021
Other ill-defined and unspecified causes of mortality,No,Yes,Normal 18.5-24.9,2500 - 2999 grams,16.0,62140.0,0.26 (Unreliable),2021
Other ill-defined and unspecified causes of mortality,No,Yes,Normal 18.5-24.9,3000 - 3499 grams,32.0,115817.0,0.28,2021
Other ill-defined and unspecified causes of mortality,No,Yes,Overweight 25.0-29.9,2500 - 2999 grams,11.0,40837.0,0.27 (Unreliable),2021
Other ill-defined and unspecified causes of mortality,No,Yes,Overweight 25.0-29.9,3000 - 3499 grams,21.0,83686.0,0.25,2021
Other ill-defined and unspecified causes of mortality,No,Yes,Overweight 25.0-29.9,3500 - 3999 grams,10.0,59247.0,0.17 (Unreliable),2021
Other ill-defined and unspecified causes of mortality,No,Yes,Obesity I 30.0-34.9,3000 - 3499 grams,17.0,52022.0,0.33 (Unreliable),2021
Other ill-defined and unspecified causes of mortality,No,Yes,Obesity I 30.0-34.9,3500 - 3999 grams,12.0,38805.0,0.31 (Unreliable),2021
Other ill-defined and unspecified causes of mortality,No,Yes,Obesity II 35.0-39.9,3000 - 3499 grams,10.0,27199.0,0.37 (Unreliable),2021
Other ill-defined and unspecified causes of mortality,No,Yes,Extreme Obesity III > 39.9,3000 - 3499 grams,12.0,21148.0,0.57 (Unreliable),2021
Other ill-defined and unspecified causes of mortality,No,No,Normal 18.5-24.9,2000 - 2499 grams,20.0,36731.0,0.55,2021
Other ill-defined and unspecified causes of mortality,No,No,Normal 18.5-24.9,2500 - 2999 grams,64.0,200211.0,0.32,2021
Other ill-defined and unspecified causes of mortality,No,No,Normal 18.5-24.9,3000 - 3499 grams,76.0,423796.0,0.18,2021
Other ill-defined and unspecified causes of mortality,No,No,Normal 18.5-24.9,3500 - 3999 grams,45.0,257938.0,0.18,2021
Other ill-defined and unspecified causes of mortality,No,No,Overweight 25.0-29.9,2000 - 2499 grams,12.0,21470.0,0.56 (Unreliable),2021
Other ill-defined and unspecified causes of mortality,No,No,Overweight 25.0-29.9,2500 - 2999 grams,52.0,117687.0,0.45,2021
Other ill-defined and unspecified causes of mortality,No,No,Overweight 25.0-29.9,3000 - 3499 grams,54.0,276450.0,0.2,2021
Other ill-defined and unspecified causes of mortality,No,No,Overweight 25.0-29.9,3500 - 3999 grams,27.0,195176.0,0.14,2021
Other ill-defined and unspecified causes of mortality,No,No,Obesity I 30.0-34.9,2500 - 2999 grams,30.0,65739.0,0.46,2021
Other ill-defined and unspecified causes of mortality,No,No,Obesity I 30.0-34.9,3000 - 3499 grams,42.0,153685.0,0.28,2021
Other ill-defined and unspecified causes of mortality,No,No,Obesity I 30.0-34.9,3500 - 3999 grams,28.0,114307.0,0.25,2021
Other ill-defined and unspecified causes of mortality,No,No,Obesity II 35.0-39.9,2500 - 2999 grams,18.0,31719.0,0.57 (Unreliable),2021
Other ill-defined and unspecified causes of mortality,No,No,Obesity II 35.0-39.9,3000 - 3499 grams,27.0,72591.0,0.38,2021
Other ill-defined and unspecified causes of mortality,No,No,Obesity II 35.0-39.9,3500 - 3999 grams,12.0,55046.0,0.22 (Unreliable),2021
Other ill-defined and unspecified causes of mortality,No,No,Extreme Obesity III > 39.9,2500 - 2999 grams,10.0,22046.0,0.46 (Unreliable),2021
Other ill-defined and unspecified causes of mortality,No,No,Extreme Obesity III > 39.9,3000 - 3499 grams,20.0,48222.0,0.42,2021
Other ill-defined and unspecified causes of mortality,No,No,Extreme Obesity III > 39.9,3500 - 3999 grams,12.0,36306.0,0.33 (Unreliable),2021
Accidental suffocation and strangulation in bed,No,Yes,Normal 18.5-24.9,2000 - 2499 grams,12.0,15624.0,0.77 (Unreliable),2021
Accidental suffocation and strangulation in bed,No,Yes,Normal 18.5-24.9,2500 - 2999 grams,21.0,62140.0,0.34,2021
Accidental suffocation and strangulation in bed,No,Yes,Normal 18.5-24.9,3000 - 3499 grams,20.0,115817.0,0.17,2021
Accidental suffocation and strangulation in bed,No,Yes,Overweight 25.0-29.9,2500 - 2999 grams,18.0,40837.0,0.44 (Unreliable),2021
Accidental suffocation and strangulation in bed,No,Yes,Overweight 25.0-29.9,3000 - 3499 grams,18.0,83686.0,0.22 (Unreliable),2021
Accidental suffocation and strangulation in bed,No,Yes,Overweight 25.0-29.9,3500 - 3999 grams,11.0,59247.0,0.19 (Unreliable),2021
Accidental suffocation and strangulation in bed,No,Yes,Obesity I 30.0-34.9,2500 - 2999 grams,11.0,25178.0,0.44 (Unreliable),2021
Accidental suffocation and strangulation in bed,No,Yes,Obesity I 30.0-34.9,3000 - 3499 grams,15.0,52022.0,0.29 (Unreliable),2021
Accidental suffocation and strangulation in bed,No,Yes,Obesity II 35.0-39.9,3000 - 3499 grams,11.0,27199.0,0.41 (Unreliable),2021
Accidental suffocation and strangulation in bed,No,Yes,Extreme Obesity III > 39.9,3000 - 3499 grams,16.0,21148.0,0.76 (Unreliable),2021
Accidental suffocation and strangulation in bed,No,No,Normal 18.5-24.9,2000 - 2499 grams,25.0,36731.0,0.68,2021
Accidental suffocation and strangulation in bed,No,No,Normal 18.5-24.9,2500 - 2999 grams,53.0,200211.0,0.27,2021
Accidental suffocation and strangulation in bed,No,No,Normal 18.5-24.9,3000 - 3499 grams,71.0,423796.0,0.17,2021
Accidental suffocation and strangulation in bed,No,No,Normal 18.5-24.9,3500 - 3999 grams,43.0,257938.0,0.17,2021
Accidental suffocation and strangulation in bed,No,No,Overweight 25.0-29.9,2000 - 2499 grams,15.0,21470.0,0.70 (Unreliable),2021
Accidental suffocation and strangulation in bed,No,No,Overweight 25.0-29.9,2500 - 2999 grams,37.0,117687.0,0.32,2021
Accidental suffocation and strangulation in bed,No,No,Overweight 25.0-29.9,3000 - 3499 grams,43.0,276450.0,0.16,2021
Accidental suffocation and strangulation in bed,No,No,Overweight 25.0-29.9,3500 - 3999 grams,30.0,195176.0,0.15,2021
Accidental suffocation and strangulation in bed,No,No,Obesity I 30.0-34.9,2000 - 2499 grams,11.0,12496.0,0.88 (Unreliable),2021
Accidental suffocation and strangulation in bed,No,No,Obesity I 30.0-34.9,2500 - 2999 grams,22.0,65739.0,0.34,2021
Accidental suffocation and strangulation in bed,No,No,Obesity I 30.0-34.9,3000 - 3499 grams,32.0,153685.0,0.21,2021
Accidental suffocation and strangulation in bed,No,No,Obesity I 30.0-34.9,3500 - 3999 grams,24.0,114307.0,0.21,2021
Accidental suffocation and strangulation in bed,No,No,Obesity II 35.0-39.9,2500 - 2999 grams,16.0,31719.0,0.51 (Unreliable),2021
Accidental suffocation and strangulation in bed,No,No,Obesity II 35.0-39.9,3000 - 3499 grams,24.0,72591.0,0.33,2021
Accidental suffocation and strangulation in bed,No,No,Obesity II 35.0-39.9,3500 - 3999 grams,13.0,55046.0,0.24 (Unreliable),2021
Accidental suffocation and strangulation in bed,No,No,Extreme Obesity III > 39.9,2500 - 2999 grams,14.0,22046.0,0.64 (Unreliable),2021
Accidental suffocation and strangulation in bed,No,No,Extreme Obesity III > 39.9,3000 - 3499 grams,22.0,48222.0,0.46,2021
Accidental suffocation and strangulation in bed,No,No,Extreme Obesity III > 39.9,3500 - 3999 grams,18.0,36306.0,0.50 (Unreliable),2021
Assault by unspecified means,No,No,Normal 18.5-24.9,2500 - 2999 grams,10.0,200211.0,0.05 (Unreliable),2021
Other viral infections of unspecified site,No,No,Normal 18.5-24.9,3000 - 3499 grams,11.0,416971.0,0.03 (Unreliable),2022
Newborn affected by incompetent cervix,No,Yes,Overweight 25.0-29.9,499 grams or less,11.0,175.0,64.45 (Unreliable),2022
Newborn affected by incompetent cervix,No,No,Normal 18.5-24.9,499 grams or less,31.0,611.0,50.1,2022
Newborn affected by incompetent cervix,No,No,Overweight 25.0-29.9,499 grams or less,54.0,625.0,86.58,2022
Newborn affected by incompetent cervix,No,No,Obesity I 30.0-34.9,499 grams or less,40.0,500.0,79.93,2022
Newborn affected by incompetent cervix,No,No,Obesity II 35.0-39.9,499 grams or less,22.0,335.0,66.9,2022
Newborn affected by incompetent cervix,No,No,Extreme Obesity III > 39.9,499 grams or less,28.0,281.0,98.67,2022
Newborn affected by incompetent cervix,No,No,Unknown or Not Stated,499 grams or less,13.0,176.0,74.83 (Unreliable),2022
Newborn affected by premature rupture of membranes,No,Yes,Normal 18.5-24.9,499 grams or less,19.0,156.0,123.22 (Unreliable),2022
Newborn affected by premature rupture of membranes,No,Yes,Normal 18.5-24.9,500 - 749 grams,10.0,90.0,112.69 (Unreliable),2022
Newborn affected by premature rupture of membranes,No,Yes,Overweight 25.0-29.9,499 grams or less,20.0,175.0,116.27,2022
Newborn affected by premature rupture of membranes,No,Yes,Obesity I 30.0-34.9,499 grams or less,14.0,134.0,105.55 (Unreliable),2022
Newborn affected by premature rupture of membranes,No,Yes,Obesity II 35.0-39.9,499 grams or less,15.0,98.0,157.75 (Unreliable),2022
Newborn affected by premature rupture of membranes,No,Yes,Unknown or Not Stated,499 grams or less,10.0,37.0,273.12 (Unreliable),2022
Newborn affected by premature rupture of membranes,No,No,Normal 18.5-24.9,499 grams or less,65.0,611.0,106.95,2022
Newborn affected by premature rupture of membranes,No,No,Overweight 25.0-29.9,499 grams or less,62.0,625.0,98.99,2022
Newborn affected by premature rupture of membranes,No,No,Obesity I 30.0-34.9,499 grams or less,41.0,500.0,81.68,2022
Newborn affected by premature rupture of membranes,No,No,Obesity II 35.0-39.9,499 grams or less,28.0,335.0,85.0,2022
Newborn affected by premature rupture of membranes,No,No,Extreme Obesity III > 39.9,499 grams or less,27.0,281.0,97.83,2022
Newborn affected by premature rupture of membranes,No,No,Unknown or Not Stated,499 grams or less,13.0,176.0,71.13 (Unreliable),2022
Newborn affected by other maternal complications of pregnancy,No,No,Overweight 25.0-29.9,499 grams or less,10.0,625.0,16.23 (Unreliable),2022
Newborn affected by other forms of placental separation and haemorrhage,No,No,Normal 18.5-24.9,499 grams or less,29.0,611.0,47.97,2022
Newborn affected by other forms of placental separation and haemorrhage,No,No,Overweight 25.0-29.9,499 grams or less,16.0,625.0,25.92 (Unreliable),2022
Newborn affected by other forms of placental separation and haemorrhage,No,No,Unknown or Not Stated,499 grams or less,10.0,176.0,58.20 (Unreliable),2022
Newborn affected by chorioamnionitis,No,Yes,Normal 18.5-24.9,499 grams or less,12.0,156.0,78.78 (Unreliable),2022
Newborn affected by chorioamnionitis,No,Yes,Obesity I 30.0-34.9,499 grams or less,11.0,134.0,82.67 (Unreliable),2022
Newborn affected by chorioamnionitis,No,No,Normal 18.5-24.9,499 grams or less,11.0,611.0,18.04 (Unreliable),2022
Newborn affected by chorioamnionitis,No,No,Overweight 25.0-29.9,499 grams or less,15.0,625.0,24.59 (Unreliable),2022
Newborn affected by chorioamnionitis,No,No,Obesity I 30.0-34.9,499 grams or less,10.0,500.0,20.11 (Unreliable),2022
Newborn affected by chorioamnionitis,No,No,Obesity II 35.0-39.9,499 grams or less,13.0,335.0,38.86 (Unreliable),2022
Newborn affected by other specified complications of labour and delivery,No,No,Overweight 25.0-29.9,499 grams or less,10.0,625.0,16.44 (Unreliable),2022
Extreme immaturity,Yes,Yes,Normal 18.5-24.9,499 grams or less,18.0,151.0,121.56 (Unreliable),2022
Extreme immaturity,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,27.0,744.0,36.9,2022
Extreme immaturity,Yes,Yes,Overweight 25.0-29.9,499 grams or less,14.0,150.0,96.24 (Unreliable),2022
Extreme immaturity,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,24.0,740.0,31.87,2022
Extreme immaturity,Yes,Yes,Obesity I 30.0-34.9,499 grams or less,12.0,141.0,86.62 (Unreliable),2022
Extreme immaturity,Yes,Yes,Obesity I 30.0-34.9,500 - 749 grams,15.0,595.0,25.47 (Unreliable),2022
Extreme immaturity,Yes,Yes,Extreme Obesity III > 39.9,499 grams or less,16.0,92.0,176.48 (Unreliable),2022
Extreme immaturity,Yes,No,Normal 18.5-24.9,499 grams or less,29.0,285.0,100.16,2022
Extreme immaturity,Yes,No,Normal 18.5-24.9,500 - 749 grams,25.0,1058.0,23.92,2022
Extreme immaturity,Yes,No,Overweight 25.0-29.9,499 grams or less,33.0,259.0,125.92,2022
Extreme immaturity,Yes,No,Overweight 25.0-29.9,500 - 749 grams,31.0,920.0,34.2,2022
Extreme immaturity,Yes,No,Obesity I 30.0-34.9,499 grams or less,36.0,213.0,168.62,2022
Extreme immaturity,Yes,No,Obesity I 30.0-34.9,500 - 749 grams,17.0,740.0,23.14 (Unreliable),2022
Extreme immaturity,Yes,No,Obesity II 35.0-39.9,499 grams or less,10.0,136.0,74.52 (Unreliable),2022
Extreme immaturity,Yes,No,Obesity II 35.0-39.9,500 - 749 grams,13.0,477.0,27.52 (Unreliable),2022
Extreme immaturity,Yes,No,Extreme Obesity III > 39.9,499 grams or less,18.0,118.0,156.37 (Unreliable),2022
Extreme immaturity,Yes,No,Extreme Obesity III > 39.9,500 - 749 grams,12.0,401.0,30.45 (Unreliable),2022
Extreme immaturity,Yes,No,Unknown or Not Stated,499 grams or less,10.0,45.0,228.53 (Unreliable),2022
Extreme immaturity,No,Yes,Normal 18.5-24.9,499 grams or less,47.0,156.0,298.19,2022
Extreme immaturity,No,Yes,Normal 18.5-24.9,500 - 749 grams,18.0,90.0,201.78 (Unreliable),2022
Extreme immaturity,No,Yes,Overweight 25.0-29.9,499 grams or less,62.0,175.0,355.07,2022
Extreme immaturity,No,Yes,Overweight 25.0-29.9,500 - 749 grams,13.0,65.0,206.40 (Unreliable),2022
Extreme immaturity,No,Yes,Obesity I 30.0-34.9,499 grams or less,45.0,134.0,337.87,2022
Extreme immaturity,No,Yes,Obesity I 30.0-34.9,500 - 749 grams,13.0,83.0,158.67 (Unreliable),2022
Extreme immaturity,No,Yes,Obesity II 35.0-39.9,499 grams or less,34.0,98.0,350.15,2022
Extreme immaturity,No,Yes,Extreme Obesity III > 39.9,499 grams or less,24.0,69.0,354.77,2022
Extreme immaturity,No,Yes,Unknown or Not Stated,499 grams or less,13.0,37.0,360.32 (Unreliable),2022
Extreme immaturity,No,No,Underweight <18.5,499 grams or less,32.0,74.0,426.83,2022
Extreme immaturity,No,No,Normal 18.5-24.9,499 grams or less,215.0,611.0,352.18,2022
Extreme immaturity,No,No,Normal 18.5-24.9,500 - 749 grams,44.0,209.0,210.76,2022
Extreme immaturity,No,No,Overweight 25.0-29.9,499 grams or less,218.0,625.0,349.19,2022
Extreme immaturity,No,No,Overweight 25.0-29.9,500 - 749 grams,35.0,178.0,195.37,2022
Extreme immaturity,No,No,Obesity I 30.0-34.9,499 grams or less,218.0,500.0,436.32,2022
Extreme immaturity,No,No,Obesity I 30.0-34.9,500 - 749 grams,24.0,133.0,177.32,2022
Extreme immaturity,No,No,Obesity II 35.0-39.9,499 grams or less,148.0,335.0,440.46,2022
Extreme immaturity,No,No,Obesity II 35.0-39.9,500 - 749 grams,11.0,71.0,158.88 (Unreliable),2022
Extreme immaturity,No,No,Extreme Obesity III > 39.9,499 grams or less,100.0,281.0,355.18,2022
Extreme immaturity,No,No,Extreme Obesity III > 39.9,500 - 749 grams,11.0,59.0,189.88 (Unreliable),2022
Extreme immaturity,No,No,Unknown or Not Stated,499 grams or less,69.0,176.0,393.81,2022
Extreme immaturity,No,No,Unknown or Not Stated,500 - 749 grams,15.0,52.0,293.93 (Unreliable),2022
Other preterm infants,No,Yes,Normal 18.5-24.9,499 grams or less,14.0,156.0,91.90 (Unreliable),2022
Other preterm infants,No,Yes,Overweight 25.0-29.9,499 grams or less,15.0,175.0,87.37 (Unreliable),2022
Other preterm infants,No,Yes,Obesity I 30.0-34.9,499 grams or less,12.0,134.0,92.09 (Unreliable),2022
Other preterm infants,No,Yes,Obesity II 35.0-39.9,499 grams or less,11.0,98.0,114.21 (Unreliable),2022
Other preterm infants,No,No,Normal 18.5-24.9,499 grams or less,76.0,611.0,124.23,2022
Other preterm infants,No,No,Normal 18.5-24.9,500 - 749 grams,10.0,209.0,48.82 (Unreliable),2022
Other preterm infants,No,No,Overweight 25.0-29.9,499 grams or less,53.0,625.0,84.27,2022
Other preterm infants,No,No,Overweight 25.0-29.9,500 - 749 grams,10.0,178.0,56.32 (Unreliable),2022
Other preterm infants,No,No,Obesity I 30.0-34.9,499 grams or less,61.0,500.0,122.12,2022
Other preterm infants,No,No,Obesity I 30.0-34.9,500 - 749 grams,17.0,133.0,129.74 (Unreliable),2022
Other preterm infants,No,No,Obesity II 35.0-39.9,499 grams or less,32.0,335.0,94.63,2022
Other preterm infants,No,No,Extreme Obesity III > 39.9,499 grams or less,41.0,281.0,146.04,2022
Other preterm infants,No,No,Unknown or Not Stated,499 grams or less,19.0,176.0,110.77 (Unreliable),2022
"Intrauterine hypoxia, unspecified",Yes,No,Normal 18.5-24.9,500 - 749 grams,12.0,1058.0,11.70 (Unreliable),2022
"Intrauterine hypoxia, unspecified",Yes,No,Overweight 25.0-29.9,500 - 749 grams,10.0,920.0,11.20 (Unreliable),2022
Respiratory distress syndrome of newborn,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,19.0,744.0,25.89 (Unreliable),2022
Respiratory distress syndrome of newborn,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,14.0,740.0,19.26 (Unreliable),2022
Respiratory distress syndrome of newborn,Yes,Yes,Obesity I 30.0-34.9,500 - 749 grams,16.0,595.0,27.44 (Unreliable),2022
Respiratory distress syndrome of newborn,Yes,Yes,Obesity II 35.0-39.9,500 - 749 grams,15.0,374.0,40.67 (Unreliable),2022
Respiratory distress syndrome of newborn,Yes,No,Normal 18.5-24.9,499 grams or less,10.0,285.0,35.84 (Unreliable),2022
Respiratory distress syndrome of newborn,Yes,No,Normal 18.5-24.9,500 - 749 grams,22.0,1058.0,20.96,2022
Respiratory distress syndrome of newborn,Yes,No,Overweight 25.0-29.9,499 grams or less,18.0,259.0,70.31 (Unreliable),2022
Respiratory distress syndrome of newborn,Yes,No,Overweight 25.0-29.9,500 - 749 grams,18.0,920.0,19.69 (Unreliable),2022
Respiratory distress syndrome of newborn,Yes,No,Obesity I 30.0-34.9,500 - 749 grams,16.0,740.0,22.03 (Unreliable),2022
Respiratory distress syndrome of newborn,Yes,No,Obesity II 35.0-39.9,500 - 749 grams,13.0,477.0,27.68 (Unreliable),2022
Respiratory distress syndrome of newborn,Yes,No,Extreme Obesity III > 39.9,500 - 749 grams,11.0,401.0,27.61 (Unreliable),2022
Primary atelectasis of newborn,Yes,No,Normal 18.5-24.9,500 - 749 grams,19.0,1058.0,18.03 (Unreliable),2022
Neonatal cardiac failure,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,10.0,744.0,13.83 (Unreliable),2022
Neonatal cardiac failure,Yes,No,Normal 18.5-24.9,499 grams or less,12.0,285.0,42.26 (Unreliable),2022
Neonatal cardiac failure,Yes,No,Normal 18.5-24.9,500 - 749 grams,11.0,1058.0,10.54 (Unreliable),2022
Neonatal cardiac failure,Yes,No,Overweight 25.0-29.9,500 - 749 grams,10.0,920.0,10.95 (Unreliable),2022
Neonatal cardiac failure,No,No,Overweight 25.0-29.9,499 grams or less,11.0,625.0,17.75 (Unreliable),2022
Neonatal cardiac dysrhythmia,Yes,No,Normal 18.5-24.9,500 - 749 grams,12.0,1058.0,11.45 (Unreliable),2022
Neonatal cardiac dysrhythmia,No,No,Normal 18.5-24.9,499 grams or less,16.0,611.0,26.51 (Unreliable),2022
Neonatal cardiac dysrhythmia,No,No,Overweight 25.0-29.9,499 grams or less,16.0,625.0,25.94 (Unreliable),2022
Neonatal cardiac dysrhythmia,No,No,Obesity I 30.0-34.9,499 grams or less,17.0,500.0,34.29 (Unreliable),2022
Neonatal cardiac dysrhythmia,No,No,Obesity II 35.0-39.9,499 grams or less,15.0,335.0,45.80 (Unreliable),2022
"Bacterial sepsis of newborn, unspecified",Yes,Yes,Normal 18.5-24.9,500 - 749 grams,19.0,744.0,25.78 (Unreliable),2022
"Bacterial sepsis of newborn, unspecified",Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,17.0,740.0,23.40 (Unreliable),2022
"Bacterial sepsis of newborn, unspecified",Yes,Yes,Obesity I 30.0-34.9,500 - 749 grams,14.0,595.0,23.88 (Unreliable),2022
"Bacterial sepsis of newborn, unspecified",Yes,No,Normal 18.5-24.9,500 - 749 grams,31.0,1058.0,29.76,2022
"Bacterial sepsis of newborn, unspecified",Yes,No,Normal 18.5-24.9,750 - 999 grams,19.0,1396.0,13.69 (Unreliable),2022
"Bacterial sepsis of newborn, unspecified",Yes,No,Overweight 25.0-29.9,500 - 749 grams,10.0,920.0,10.92 (Unreliable),2022
"Bacterial sepsis of newborn, unspecified",Yes,No,Obesity I 30.0-34.9,499 grams or less,11.0,213.0,52.39 (Unreliable),2022
"Bacterial sepsis of newborn, unspecified",Yes,No,Obesity I 30.0-34.9,500 - 749 grams,18.0,740.0,24.53 (Unreliable),2022
"Bacterial sepsis of newborn, unspecified",Yes,No,Obesity I 30.0-34.9,750 - 999 grams,11.0,923.0,11.99 (Unreliable),2022
"Bacterial sepsis of newborn, unspecified",Yes,No,Obesity II 35.0-39.9,500 - 749 grams,13.0,477.0,27.48 (Unreliable),2022
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,No,Normal 18.5-24.9,500 - 749 grams,16.0,1058.0,15.37 (Unreliable),2022
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,No,Overweight 25.0-29.9,500 - 749 grams,10.0,920.0,10.98 (Unreliable),2022
Necrotizing enterocolitis of newborn,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,19.0,744.0,25.67 (Unreliable),2022
Necrotizing enterocolitis of newborn,Yes,Yes,Normal 18.5-24.9,750 - 999 grams,11.0,1062.0,10.49 (Unreliable),2022
Necrotizing enterocolitis of newborn,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,13.0,740.0,17.66 (Unreliable),2022
Necrotizing enterocolitis of newborn,Yes,Yes,Obesity I 30.0-34.9,500 - 749 grams,11.0,595.0,18.65 (Unreliable),2022
Necrotizing enterocolitis of newborn,Yes,No,Normal 18.5-24.9,500 - 749 grams,15.0,1058.0,14.32 (Unreliable),2022
Necrotizing enterocolitis of newborn,Yes,No,Normal 18.5-24.9,750 - 999 grams,12.0,1396.0,8.70 (Unreliable),2022
Necrotizing enterocolitis of newborn,Yes,No,Overweight 25.0-29.9,500 - 749 grams,15.0,920.0,16.40 (Unreliable),2022
Necrotizing enterocolitis of newborn,Yes,No,Overweight 25.0-29.9,750 - 999 grams,17.0,1181.0,14.52 (Unreliable),2022
Necrotizing enterocolitis of newborn,Yes,No,Obesity I 30.0-34.9,500 - 749 grams,13.0,740.0,17.61 (Unreliable),2022
Hypoxic ischemic encephalopathy of newborn,Yes,Yes,Normal 18.5-24.9,3000 - 3499 grams,11.0,6323.0,1.77 (Unreliable),2022
Hypoxic ischemic encephalopathy of newborn,Yes,No,Normal 18.5-24.9,2500 - 2999 grams,14.0,13287.0,1.08 (Unreliable),2022
Hypoxic ischemic encephalopathy of newborn,Yes,No,Normal 18.5-24.9,3000 - 3499 grams,17.0,14250.0,1.21 (Unreliable),2022
Anencephaly,No,No,Normal 18.5-24.9,1500 - 1999 grams,13.0,2563.0,5.23 (Unreliable),2022
Anencephaly,No,No,Normal 18.5-24.9,2000 - 2499 grams,12.0,37097.0,0.33 (Unreliable),2022
Anencephaly,No,No,Normal 18.5-24.9,2500 - 2999 grams,14.0,200911.0,0.07 (Unreliable),2022
Anencephaly,No,No,Overweight 25.0-29.9,1500 - 1999 grams,12.0,1764.0,6.91 (Unreliable),2022
Anencephaly,No,No,Overweight 25.0-29.9,2000 - 2499 grams,12.0,22325.0,0.55 (Unreliable),2022
Anencephaly,No,No,Obesity I 30.0-34.9,2000 - 2499 grams,11.0,13288.0,0.85 (Unreliable),2022
Hypoplastic left heart syndrome,Yes,No,Normal 18.5-24.9,3000 - 3499 grams,10.0,14250.0,0.71 (Unreliable),2022
Hypoplastic left heart syndrome,Yes,No,Overweight 25.0-29.9,3000 - 3499 grams,11.0,11099.0,1.00 (Unreliable),2022
"Congenital malformation of heart, unspecified",Yes,No,Normal 18.5-24.9,1500 - 1999 grams,11.0,9407.0,1.17 (Unreliable),2022
"Congenital malformation of heart, unspecified",Yes,No,Normal 18.5-24.9,2000 - 2499 grams,11.0,12825.0,0.86 (Unreliable),2022
"Congenital malformation of heart, unspecified",Yes,No,Normal 18.5-24.9,2500 - 2999 grams,19.0,13287.0,1.44 (Unreliable),2022
"Congenital malformation of heart, unspecified",Yes,No,Normal 18.5-24.9,3000 - 3499 grams,11.0,14250.0,0.78 (Unreliable),2022
"Congenital malformation of heart, unspecified",Yes,No,Overweight 25.0-29.9,3000 - 3499 grams,14.0,11099.0,1.27 (Unreliable),2022
"Congenital malformation of heart, unspecified",No,No,Overweight 25.0-29.9,2500 - 2999 grams,12.0,122099.0,0.10 (Unreliable),2022
"Edwards syndrome, unspecified",Yes,Yes,Normal 18.5-24.9,1500 - 1999 grams,11.0,7275.0,1.54 (Unreliable),2022
"Edwards syndrome, unspecified",Yes,No,Normal 18.5-24.9,1500 - 1999 grams,23.0,9407.0,2.47,2022
"Edwards syndrome, unspecified",Yes,No,Normal 18.5-24.9,2000 - 2499 grams,13.0,12825.0,1.02 (Unreliable),2022
"Edwards syndrome, unspecified",Yes,No,Overweight 25.0-29.9,1500 - 1999 grams,19.0,6727.0,2.87 (Unreliable),2022
